ParkID,FacilityCount,FacilityType,FacilityURL
198,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
198,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
198,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
199,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
200,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
200,1,Washrooms,
201,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
201,1,Beaches,//vancouver.ca/parks-recreation-culture/beaches.aspx
201,1,Washrooms,
202,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
203,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
203,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
203,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
204,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
206,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
206,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
206,1,Golf Courses,//vancouver.ca/parks-recreation-culture/golf-courses-pitch-and-putts-and-driving-ranges.aspx
206,2,Bowling Greens,
206,2,Cricket Pitches,
206,3,Field Houses,
206,1,Lighted Fields,
206,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
206,4,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
206,1,Swimming Pools,//vancouver.ca/parks-recreation-culture/swimming-pools.aspx
206,2,Rugby Fields,
206,2,Softball,
206,21,Tennis Courts,
206,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
206,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
206,1,Water/Spray Parks,
206,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
206,1,Running Tracks,
206,3,Jogging Trails,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,1,Washrooms,
206,4,Restaurants,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
206,1,Washrooms,
206,7,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
207,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
207,1,Field Houses,
207,1,Outdoor Roller Hockey Rinks,
207,1,Beaches,//vancouver.ca/parks-recreation-culture/beaches.aspx
207,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
207,1,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
207,1,Washrooms,
207,1,Ball Hockey,
208,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
209,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
212,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
213,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
