ParkID,FacilityCount,FacilityType,FacilityURL
85,2,Baseball Diamonds,
85,1,Community Centres,//vancouver.ca/parks-recreation-culture/community-and-cultural-centres.aspx
85,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
85,2,Soccer Fields,
85,3,Tennis Courts,
85,1,Field Houses,
85,1,Lighted Fields,
85,1,Rinks,//vancouver.ca/parks-recreation-culture/ice-rinks.aspx
85,2,Softball,
85,1,Basketball Courts,
85,1,Pickle Ball,
85,1,Picnic Sites,//vancouver.ca/parks-recreation-culture/picnics.aspx
85,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
85,1,Jogging Trails,
85,1,Rugby Fields,
85,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
85,1,Food Concessions,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
85,1,Washrooms,
85,1,Ball Hockey,
86,1,Field Houses,
86,1,Soccer Fields,
86,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
86,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
86,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
86,1,Washrooms,
87,1,Community Centres,//vancouver.ca/parks-recreation-culture/community-and-cultural-centres.aspx
87,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
87,2,Soccer Fields,
87,1,Community Halls,
87,4,Softball,
87,1,Swimming Pools,//vancouver.ca/parks-recreation-culture/swimming-pools.aspx
87,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
87,1,Skateboard Parks,//vancouver.ca/parks-recreation-culture/skateboard-parks.aspx
88,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
88,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
88,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
88,1,Ultimate Fields,
88,1,Basketball Courts,
89,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
89,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
90,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
90,1,Soccer Fields,
